Cx,Cy,Cz,nx,ny,nz
180,0.8475,44.7561,0,0.2766,0.961
180,2.5425,44.2682,0,0.2766,0.961
180,4.2392,43.7863,0,0.2698,0.9629
180,5.9375,43.3103,0,0.2698,0.9629
180,7.6376,42.8404,-0,0.263,0.9648
180,9.3393,42.3765,0,0.263,0.9648
180,11.0426,41.9186,0,0.2562,0.9666
180,12.7475,41.4667,0,0.2562,0.9666
180,14.454,41.0208,-0,0.2494,0.9684
180,16.1621,40.5809,0,0.2494,0.9684
180,17.8717,40.1471,0,0.2425,0.9701
180,19.5829,39.7193,0,0.2425,0.9701
180,21.2955,39.2975,-0,0.2357,0.9718
180,23.0096,38.8818,-0,0.2357,0.9718
180,24.7252,38.4721,-0,0.2288,0.9735
180,26.4422,38.0685,0,0.2288,0.9735
180,28.1606,37.6709,0,0.222,0.9751
180,29.8804,37.2794,0,0.222,0.9751
180,31.6016,36.894,0,0.2151,0.9766
180,33.3241,36.5147,0,0.2151,0.9766
180,35.0479,36.1414,-0,0.2082,0.9781
180,36.7731,35.7742,-0,0.2082,0.9781
180,38.4995,35.4131,-0,0.2013,0.9795
180,40.2272,35.0581,-0,0.2013,0.9795
180,41.9562,34.7092,-0,0.1944,0.9809
180,43.6863,34.3664,-0,0.1944,0.9809
180,45.4177,34.0297,-0,0.1874,0.9823
180,47.1502,33.6991,0,0.1874,0.9823
180,48.8839,33.3746,-0,0.1805,0.9836
180,50.6188,33.0562,-0,0.1805,0.9836
180,52.3547,32.744,-0,0.1736,0.9848
180,54.0918,32.4379,-0,0.1736,0.9848
180,55.8298,32.1379,-0,0.1666,0.986
180,57.569,31.844,0,0.1666,0.986
180,59.3092,31.5563,-0,0.1596,0.9872
180,61.0504,31.2748,-0,0.1596,0.9872
180,62.7925,30.9993,0,0.1527,0.9883
180,64.5356,30.73,0,0.1527,0.9883
180,66.2797,30.4669,0,0.1457,0.9893
180,68.0247,30.2099,0,0.1457,0.9893
180,69.7706,29.9591,0,0.1387,0.9903
180,71.5173,29.7144,0,0.1387,0.9903
180,73.2649,29.4759,-0,0.1317,0.9913
180,75.0133,29.2436,0,0.1317,0.9913
180,76.7626,29.0174,0,0.1247,0.9922
180,78.5126,28.7975,0,0.1247,0.9922
180,80.2634,28.5836,-0,0.1177,0.993
180,82.0149,28.376,-0,0.1177,0.993
180,83.7672,28.1745,-0,0.1107,0.9939
180,85.5202,27.9793,-0,0.1107,0.9939
180,87.2738,27.7902,0,0.1037,0.9946
180,89.0281,27.6073,-0,0.1037,0.9946
180,90.783,27.4306,-0,0.0967,0.9953
180,92.5385,27.26,0,0.0967,0.9953
180,94.2947,27.0957,-0,0.0897,0.996
180,96.0514,26.9376,-0,0.0897,0.996
180,97.8086,26.7856,0,0.0826,0.9966
180,99.5664,26.6399,0,0.0826,0.9966
180,101.3247,26.5004,-0,0.0756,0.9971
180,103.0834,26.367,-0,0.0756,0.9971
180,104.8426,26.2399,-0,0.0686,0.9976
180,106.6023,26.119,-0,0.0686,0.9976
180,108.3623,26.0043,-0,0.0615,0.9981
180,110.1228,25.8958,0,0.0615,0.9981
180,111.8836,25.7935,-0,0.0545,0.9985
180,113.6448,25.6974,0,0.0545,0.9985
180,115.4063,25.6076,0,0.0474,0.9989
180,117.1681,25.5239,0,0.0474,0.9989
180,118.9302,25.4465,-0,0.0404,0.9992
180,120.6926,25.3752,-0,0.0404,0.9992
180,122.4552,25.3102,0,0.0333,0.9994
180,124.218,25.2515,0,0.0333,0.9994
180,125.981,25.1989,-0,0.0263,0.9997
180,127.7442,25.1526,0,0.0263,0.9997
180,129.5075,25.1124,-0,0.0192,0.9998
180,131.271,25.0785,0,0.0192,0.9998
180,133.0346,25.0508,0,0.0122,0.9999
180,134.7983,25.0294,0,0.0122,0.9999
180,136.562,25.0142,0,0.0051,1
180,138.3258,25.0051,0,0.0051,1
180,140.0896,25.0023,0,-0.0019,1
180,141.8534,25.0058,0,-0.0019,1
180,143.6172,25.0154,-0,-0.009,1
180,145.3809,25.0313,-0,-0.009,1
180,147.1446,25.0534,-0,-0.0161,0.9999
180,148.9081,25.0817,-0,-0.0161,0.9999
180,150.6716,25.1162,0,-0.0231,0.9997
180,152.4349,25.157,0,-0.0231,0.9997
180,154.1981,25.204,-0,-0.0302,0.9995
180,155.9611,25.2572,0,-0.0302,0.9995
180,157.7239,25.3166,0,-0.0372,0.9993
180,159.4865,25.3822,0,-0.0372,0.9993
180,161.2488,25.4541,0,-0.0443,0.999
180,163.0109,25.5321,-0,-0.0443,0.999
180,164.7726,25.6164,0,-0.0513,0.9987
180,166.5341,25.7069,0,-0.0513,0.9987
180,168.2953,25.8036,-0,-0.0584,0.9983
180,170.0561,25.9065,-0,-0.0584,0.9983
180,171.8165,26.0157,0,-0.0654,0.9979
180,173.5766,26.131,0,-0.0654,0.9979
180,175.3362,26.2525,0,-0.0724,0.9974
180,177.0953,26.3803,-0,-0.0724,0.9974
180,178.854,26.5143,0,-0.0795,0.9968
180,180.6123,26.6544,0,-0.0795,0.9968
180,182.37,26.8008,0,-0.0865,0.9963
180,184.1272,26.9534,0,-0.0865,0.9963
180,185.8838,27.1121,0,-0.0935,0.9956
180,187.6399,27.2771,0,-0.0935,0.9956
180,189.3953,27.4482,0,-0.1005,0.9949
180,191.1502,27.6256,0,-0.1005,0.9949
180,192.9044,27.8091,0,-0.1076,0.9942
180,194.658,27.9988,0,-0.1076,0.9942
180,196.4109,28.1947,0,-0.1146,0.9934
180,198.1631,28.3968,0,-0.1146,0.9934
180,199.9146,28.6051,-0,-0.1216,0.9926
180,201.6653,28.8195,-0,-0.1216,0.9926
180,203.4152,29.0401,-0,-0.1286,0.9917
180,205.1643,29.2669,-0,-0.1286,0.9917
180,206.5059,29.4455,-0,-0.1383,0.9904
180,207.44,29.576,-0,-0.1383,0.9904
180,208.3732,29.7123,0,-0.1507,0.9886
180,209.3055,29.8545,0,-0.1507,0.9886
180,210.2369,30.0025,0,-0.1632,0.9866
180,211.1674,30.1564,0,-0.1632,0.9866
180,212.0969,30.3161,0,-0.1756,0.9845
180,213.0254,30.4817,0,-0.1756,0.9845
180,213.9527,30.6531,-0,-0.1879,0.9822
180,214.879,30.8303,0,-0.1879,0.9822
180,215.8042,31.0134,0,-0.2003,0.9797
180,216.7282,31.2023,-0,-0.2003,0.9797
180,217.651,31.3969,-0,-0.2126,0.9771
180,218.5725,31.5974,0,-0.2126,0.9771
180,219.4928,31.8037,0,-0.2248,0.9744
180,220.4117,32.0157,0,-0.2248,0.9744
180,221.3293,32.2335,0,-0.2371,0.9715
180,222.2456,32.4571,0,-0.2371,0.9715
180,223.1604,32.6865,-0,-0.2493,0.9684
180,224.0737,32.9215,0,-0.2493,0.9684
180,224.9855,33.1624,-0,-0.2614,0.9652
180,225.8958,33.4089,0,-0.2614,0.9652
180,226.8046,33.6612,0,-0.2735,0.9619
180,227.7117,33.9192,0,-0.2735,0.9619
180,228.9236,34.2658,-0,-0.2758,0.9612
180,230.4403,34.701,0,-0.2758,0.9612
180,231.9588,35.1301,-0,-0.2682,0.9634
180,233.4789,35.5534,-0,-0.2682,0.9634
180,235.0007,35.9706,-0,-0.2606,0.9654
180,236.5241,36.3818,-0,-0.2606,0.9654
180,238.0491,36.787,0,-0.253,0.9675
180,239.5757,37.1861,0,-0.253,0.9675
180,241.1039,37.5793,0,-0.2453,0.9694
180,242.6335,37.9664,0,-0.2453,0.9694
180,244.1648,38.3475,-0,-0.2377,0.9713
180,245.6975,38.7225,0,-0.2377,0.9713
180,247.2317,39.0915,0,-0.23,0.9732
180,248.7673,39.4544,-0,-0.23,0.9732
180,250.3043,39.8113,-0,-0.2223,0.975
180,251.8428,40.1621,-0,-0.2223,0.975
180,253.3826,40.5068,0,-0.2146,0.9767
180,254.9237,40.8454,0,-0.2146,0.9767
180,256.4662,41.178,0,-0.2069,0.9784
180,258.01,41.5045,0,-0.2069,0.9784
180,259.555,41.8249,-0,-0.1992,0.98
180,261.1013,42.1392,0,-0.1992,0.98
180,262.6489,42.4474,-0,-0.1914,0.9815
180,264.1976,42.7495,0,-0.1914,0.9815
180,265.7475,43.0454,-0,-0.1837,0.983
180,267.2986,43.3353,-0,-0.1837,0.983
180,268.8509,43.619,-0,-0.1759,0.9844
180,270.4041,43.8966,-0,-0.1759,0.9844
180,271.9585,44.1681,-0,-0.1682,0.9858
180,273.514,44.4334,-0,-0.1682,0.9858
180,275.0704,44.6927,-0,-0.1604,0.9871
180,276.628,44.9457,-0,-0.1604,0.9871
180,278.1864,45.1926,-0,-0.1526,0.9883
180,279.7459,45.4334,0,-0.1526,0.9883
180,281.3063,45.668,0,-0.1448,0.9895
180,282.8676,45.8965,0,-0.1448,0.9895
180,284.4298,46.1188,-0,-0.137,0.9906
180,285.9929,46.3349,0,-0.137,0.9906
180,287.5568,46.5449,-0,-0.1292,0.9916
180,289.1215,46.7487,-0,-0.1292,0.9916
180,290.6869,46.9463,0,-0.1213,0.9926
180,292.2532,47.1377,0,-0.1213,0.9926
180,293.8202,47.323,0,-0.1135,0.9935
180,295.3879,47.5021,0,-0.1135,0.9935
180,296.9564,47.675,-0,-0.1056,0.9944
180,298.5255,47.8417,-0,-0.1056,0.9944
180,300.0952,48.0022,0,-0.0978,0.9952
180,301.6655,48.1565,0,-0.0978,0.9952
180,303.2365,48.3046,0,-0.0899,0.9959
180,304.808,48.4466,0,-0.0899,0.9959
180,306.3801,48.5823,0,-0.0821,0.9966
180,307.9527,48.7118,0,-0.0821,0.9966
180,309.5258,48.8351,0,-0.0742,0.9972
180,311.0994,48.9522,0,-0.0742,0.9972
180,312.6734,49.0631,0,-0.0663,0.9978
180,314.2479,49.1678,-0,-0.0664,0.9978
180,315.8227,49.2663,0,-0.0585,0.9983
180,317.3979,49.3586,0,-0.0585,0.9983
180,318.9735,49.4446,0,-0.0506,0.9987
180,320.5494,49.5245,0,-0.0506,0.9987
180,322.1256,49.5981,0,-0.0427,0.9991
180,323.7021,49.6655,0,-0.0427,0.9991
180,325.2788,49.7267,0,-0.0348,0.9994
180,326.8558,49.7816,0,-0.0348,0.9994
180,328.433,49.8304,0,-0.0269,0.9996
180,330.0103,49.8729,0,-0.0269,0.9996
180,331.5878,49.9092,-0,-0.0191,0.9998
180,333.1655,49.9393,-0,-0.0191,0.9998
180,334.7433,49.9631,0,-0.0112,0.9999
180,336.3211,49.9807,0,-0.0112,0.9999
180,337.8989,49.9921,-0,-0.0033,1
180,339.4769,49.9973,0,-0.0033,1
180,341.0547,49.9963,-0,0.0046,1
180,342.6327,49.989,-0,0.0046,1
180,344.2105,49.9755,-0,0.0125,0.9999
180,345.7883,49.9558,-0,0.0125,0.9999
180,347.366,49.9298,0,0.0204,0.9998
180,348.9437,49.8977,0,0.0204,0.9998
180,350.5212,49.8593,0,0.0283,0.9996
180,352.0984,49.8147,0,0.0283,0.9996
180,353.6755,49.7638,0,0.0362,0.9993
180,355.2524,49.7068,0,0.0362,0.9993
180,356.829,49.6435,0,0.044,0.999
180,358.4054,49.574,0,0.044,0.999
180,359.9815,49.4983,-0,0.0519,0.9987
180,361.5573,49.4163,-0,0.0519,0.9987
180,363.1328,49.3282,-0,0.0598,0.9982
180,364.7079,49.2338,0,0.0598,0.9982
180,366.2827,49.1333,0,0.0677,0.9977
180,367.8569,49.0265,0,0.0677,0.9977
180,369.4308,48.9135,-0,0.0755,0.9971
180,371.0042,48.7943,0,0.0755,0.9971
180,372.5771,48.6689,-0,0.0834,0.9965
180,374.1495,48.5372,-0,0.0834,0.9965
180,375.7214,48.3994,-0,0.0913,0.9958
180,377.2928,48.2554,-0,0.0913,0.9958
180,378.8636,48.1052,-0,0.0991,0.9951
180,380.4337,47.9488,0,0.0991,0.9951
180,382.0032,47.7862,-0,0.107,0.9943
180,383.5721,47.6174,-0,0.107,0.9943
180,385.1402,47.4424,-0,0.1148,0.9934
180,386.7077,47.2613,0,0.1148,0.9934
180,388.2745,47.0739,0,0.1226,0.9925
180,389.8406,46.8804,0,0.1226,0.9925
180,391.4058,46.6807,0,0.1305,0.9915
180,392.9703,46.4748,0,0.1305,0.9915
180,394.5338,46.2628,0,0.1383,0.9904
180,396.0966,46.0446,0,0.1383,0.9904
180,397.6585,45.8202,0,0.1461,0.9893
180,399.2195,45.5897,0,0.1461,0.9893
