Path_Index,X,Y,Z,Normal_X,Normal_Y,Normal_Z,Hit_Face_Index,V1_Index,V2_Index,V3_Index
0,180.0,0.0,0.0,-0.0,-0.0,-1.0,703,57,278,275
1,180.0,0.0,45.0,-0.0,0.2719982039192308,0.9622977590458748,636,273,276,272
2,180.0,400.0,0.0,0.0,-0.0,-1.0,724,344,343,199
3,180.0,400.0,45.47439956665039,0.0,0.14066678016323692,0.9900569968231665,590,336,337,215
4,180.0,258.5858585858586,0.0,0.0,0.0,-0.9999999999999999,711,213,94,111
5,180.0,258.5858585858586,41.61751203767569,0.0,-0.1971644318568755,0.9803704334640839,627,309,308,236
6,180.0,117.17171717171718,0.0,0.0,0.0,-0.9999999999999999,698,2,48,57
7,180.0,117.17171717171718,25.536006583401416,0.0,0.04235120428138851,0.9991027852508049,665,295,296,257
8,180.0,375.7575757575758,0.0,0.0,-0.0,-0.9999999999999999,710,207,94,213
9,180.0,375.7575757575758,48.385653041152764,0.0,0.08443478278650403,0.9964290077350197,597,332,333,218
10,180.0,234.34343434343435,0.0,0.0,0.0,-0.9999999999999999,711,213,94,111
11,180.0,234.34343434343435,35.7841929823462,0.0,-0.27051738212661475,0.9627150907549767,635,313,312,239
12,180.0,92.92929292929294,0.0,0.0,0.0,-0.9999999999999999,695,45,2,57
13,180.0,92.92929292929294,27.237012424921357,-0.0,0.09218384893320344,0.9957420037318203,658,260,292,259
14,180.0,351.51515151515156,0.0,0.0,-0.0,-0.9999999999999999,710,207,94,213
15,180.0,351.51515151515156,49.81655968501563,0.0,0.027931898134619777,0.9996098284163663,603,329,330,222
16,180.0,210.1010101010101,0.0,0.0,0.0,-0.9999999999999999,711,213,94,111
17,180.0,210.1010101010101,29.984094180213308,0.0,-0.14701970229727543,0.9891335638509192,581,245,314,244
18,180.0,68.68686868686869,0.0,0.0,0.0,-0.9999999999999999,695,45,2,57
19,180.0,68.68686868686869,30.129013448900324,-0.0,0.1417865547533397,0.9898972537042309,651,264,288,262
20,180.0,327.2727272727273,0.0,0.0,-0.0,-0.9999999999999999,710,207,94,213
21,180.0,327.2727272727273,49.78166176885364,0.0,-0.028660298739610696,0.9995892092635635,610,326,327,226
22,180.0,185.85858585858588,0.0,0.0,0.0,-0.9999999999999999,698,2,48,57
23,180.0,185.85858585858588,27.12459565163867,0.0,-0.09071405845780735,0.9958769801527262,680,248,320,247
24,180.0,44.44444444444445,0.0,0.0,0.0,-0.9999999999999999,695,45,2,57
25,180.0,44.44444444444445,34.2334454791164,-0.0,0.1910358410573608,0.9815830619114752,645,267,285,266
26,180.0,303.03030303030306,0.0,0.0,-0.0,-0.9999999999999999,710,207,94,213
27,180.0,303.03030303030306,48.28069823132553,0.0,-0.08516123440401051,0.9963671833991649,615,322,228,230
28,180.0,161.61616161616163,0.0,0.0,0.0,-0.9999999999999999,698,2,48,57
29,180.0,161.61616161616163,25.483427158174138,0.0,-0.040876394990332014,0.9991642108945828,674,252,301,251
30,180.0,20.202020202020204,0.0,0.0,0.0,-0.9999999999999999,695,45,2,57
31,180.0,20.202020202020204,39.58149248246563,0.0,0.2398080048396956,0.9708203339520679,642,281,282,270
32,180.0,278.7878787878788,0.0,0.0,0.0,-0.9999999999999999,711,213,94,111
33,180.0,278.7878787878788,45.2807729544485,0.0,-0.16003994216060402,0.9871105393588048,623,307,306,233
34,180.0,137.37373737373738,0.0,0.0,0.0,-0.9999999999999999,698,2,48,57
35,180.0,137.37373737373738,25.020594131954585,0.0,0.009063084326831469,0.9999589294078456,668,255,298,254
36,180.0,395.95959595959596,0.0,0.0,-0.0,-1.0,724,344,343,199
37,180.0,395.95959595959596,46.04845805898554,0.0,0.14066678016323692,0.9900569968231665,591,336,215,214
38,180.0,254.54545454545456,0.0,0.0,0.0,-0.9999999999999999,711,213,94,111
39,180.0,254.54545454545456,40.74792075941498,0.0,-0.21562367393735327,0.9764765390104148,630,310,309,236
40,180.0,113.13131313131314,0.0,0.0,0.0,-0.9999999999999999,698,2,48,57
41,180.0,113.13131313131314,25.732901007016856,0.0,0.05897988567425539,0.9982591713006457,663,294,295,257
42,180.0,371.71717171717177,0.0,0.0,-0.0,-0.9999999999999999,710,207,94,213
43,180.0,371.71717171717177,48.72802629090057,0.0,0.08443478278650403,0.9964290077350197,596,332,218,220
44,180.0,230.3030303030303,0.0,0.0,0.0,-0.9999999999999999,711,213,94,111
45,180.0,230.3030303030303,34.64886277485277,0.0,-0.27051738212661475,0.9627150907549767,634,313,239,240
46,180.0,88.8888888888889,0.0,0.0,0.0,-0.9999999999999999,695,45,2,57
47,180.0,88.8888888888889,27.62579911082484,0.0,0.1087499246457415,0.9940691393909911,657,291,292,260
48,180.0,347.4747474747475,0.0,0.0,-0.0,-0.9999999999999999,710,207,94,213
49,180.0,347.4747474747475,49.9294598895465,0.0,0.027931898134619777,0.9996098284163663,602,329,222,223
50,180.0,206.06060606060606,0.0,0.0,-0.0,-1.0,700,213,111,2
51,180.0,206.06060606060606,29.38354939951831,0.0,-0.14701970229727543,0.9891335638509192,580,315,314,245
52,180.0,64.64646464646465,0.0,0.0,0.0,-0.9999999999999999,695,45,2,57
53,180.0,64.64646464646465,30.713564123255704,0.0,0.1582485735939143,0.9873993057296991,652,287,288,264
54,180.0,323.23232323232327,0.0,0.0,-0.0,-0.9999999999999999,710,207,94,213
55,180.0,323.23232323232327,49.636863009397906,0.0,-0.04751363386440218,0.9988705895144773,609,326,226,227
56,180.0,181.81818181818184,0.0,0.0,0.0,-0.9999999999999999,698,2,48,57
57,180.0,181.81818181818184,26.75655677171782,0.0,-0.09071405845780735,0.9958769801527262,681,319,320,248
58,180.0,40.40404040404041,0.0,0.0,0.0,-0.9999999999999999,695,45,2,57
59,180.0,40.40404040404041,35.01978951256689,-0.0,0.1910358410573608,0.9815830619114752,645,267,285,266
60,180.0,298.989898989899,0.0,0.0,-0.0,-0.9999999999999999,710,207,94,213
61,180.0,298.989898989899,47.87467546500107,0.0,-0.10394253850519301,0.9945833040470248,616,304,322,230
62,180.0,157.5757575757576,0.0,0.0,0.0,-0.9999999999999999,698,2,48,57
63,180.0,157.5757575757576,25.318131854684218,0.0,-0.040876394990332014,0.9991642108945828,675,300,301,252
64,180.0,16.161616161616163,0.0,-0.0,-0.0,-1.0,703,57,278,275
65,180.0,16.161616161616163,40.57953629942113,-0.0,0.2398080048396956,0.9708203339520679,639,271,281,270
66,180.0,274.74747474747477,0.0,0.0,0.0,-0.9999999999999999,711,213,94,111
67,180.0,274.74747474747477,44.625703432698934,0.0,-0.16003994216060402,0.9871105393588048,622,307,233,234
68,180.0,133.33333333333334,0.0,0.0,0.0,-0.9999999999999999,698,2,48,57
69,180.0,133.33333333333334,25.057214158493412,0.0,0.009063084326831469,0.9999589294078456,669,297,298,255
70,180.0,391.9191919191919,0.0,0.0,-0.0,-1.0,724,344,343,199
71,180.0,391.9191919191919,46.61081891022915,0.0,0.12196397993888278,0.9925345271563443,594,335,336,214
72,180.0,250.50505050505052,0.0,0.0,0.0,-0.9999999999999999,711,213,94,111
73,180.0,250.50505050505052,39.85572649915538,0.0,-0.21562367393735327,0.9764765390104148,628,310,236,237
74,180.0,109.0909090909091,0.0,0.0,0.0,-0.9999999999999999,698,2,48,57
75,180.0,109.0909090909091,25.971619142779478,-0.0,0.05897988567425539,0.9982591713006457,662,258,294,257
76,180.0,367.6767676767677,0.0,0.0,-0.0,-0.9999999999999999,710,207,94,213
77,180.0,367.6767676767677,49.026079984493336,0.0,0.06562114678734984,0.9978446096934699,599,331,332,220
78,180.0,226.26262626262627,0.0,0.0,0.0,-0.9999999999999999,711,213,94,111
79,180.0,226.26262626262627,33.525126421913555,0.0,-0.26506748251400275,0.9642298635251291,588,241,313,240
80,180.0,84.84848484848486,0.0,0.0,0.0,-0.9999999999999999,695,45,2,57
81,180.0,84.84848484848486,28.067814276089383,-0.0,0.1087499246457415,0.9940691393909911,655,261,291,260
82,180.0,343.4343434343435,0.0,0.0,-0.0,-0.9999999999999999,710,207,94,213
83,180.0,343.4343434343435,49.96750511710335,0.0,0.009068477563635666,0.9999588805119328,604,328,223,224
84,180.0,202.02020202020202,0.0,0.0,-0.0,-1.0,700,213,111,2
85,180.0,202.02020202020202,28.878864594255127,0.0,-0.12382132931950662,0.9923045290663297,684,246,315,245
86,180.0,60.60606060606061,0.0,0.0,0.0,-0.9999999999999999,695,45,2,57
87,180.0,60.60606060606061,31.361111850326985,-0.0,0.1582485735939143,0.9873993057296991,649,265,287,264
88,180.0,319.1919191919192,0.0,0.0,-0.0,-0.9999999999999999,710,207,94,213
89,180.0,319.1919191919192,49.444671668241966,0.0,-0.04751363386440218,0.9988705895144773,612,325,326,227
90,180.0,177.7777777777778,0.0,0.0,0.0,-0.9999999999999999,698,2,48,57
91,180.0,177.7777777777778,26.446059318368835,0.0,-0.07412066533915022,0.9972492802552839,678,249,319,248
92,180.0,36.36363636363637,0.0,0.0,0.0,-0.9999999999999999,695,45,2,57
93,180.0,36.36363636363637,35.8761107905206,0.0,0.20735193120811107,0.9782664139304115,646,283,285,267
94,180.0,294.949494949495,0.0,0.0,0.0,-0.9999999999999999,711,213,94,111
95,180.0,294.949494949495,47.452418374179864,0.0,-0.10394253850519301,0.9945833040470248,617,304,230,231
96,180.0,153.53535353535355,0.0,0.0,0.0,-0.9999999999999999,698,2,48,57
97,180.0,153.53535353535355,25.198559787299047,0.0,-0.024235316292866734,0.9997062815868393,672,253,300,252
98,180.0,12.121212121212121,0.0,-0.0,-0.0,-1.0,703,57,278,275
99,180.0,12.121212121212121,41.64744071111999,0.0,0.25593862123165273,0.9666930340920226,640,280,281,271
100,180.0,270.7070707070707,0.0,0.0,0.0,-0.9999999999999999,711,213,94,111
101,180.0,270.7070707070707,43.940424787901364,0.0,-0.17863267978851205,0.9839158326358892,626,308,307,234
102,180.0,129.2929292929293,0.0,0.0,0.0,-0.9999999999999999,698,2,48,57
103,180.0,129.2929292929293,25.127368136135335,0.0,0.02571079281968783,0.9996694229256905,666,256,297,255
104,180.0,387.8787878787879,0.0,0.0,-0.0,-1.0,725,199,343,207
105,180.0,387.8787878787879,47.10730920235095,0.0,0.12196397993888278,0.9925345271563443,592,335,214,217
106,180.0,246.46464646464648,0.0,0.0,0.0,-0.9999999999999999,711,213,94,111
107,180.0,246.46464646464648,38.89189154417742,0.0,-0.2340069255666136,0.972234929832734,629,310,237,238
108,180.0,105.05050505050505,0.0,0.0,0.0,-0.9999999999999999,698,2,48,57
109,180.0,105.05050505050505,26.232169247213672,0.0,0.07559235411646446,0.9971388047805235,661,293,294,258
110,180.0,363.6363636363637,0.0,0.0,-0.0,-0.9999999999999999,710,207,94,213
111,180.0,363.6363636363637,49.291788636962785,0.0,0.06562114678734984,0.9978446096934699,598,331,220,221
112,180.0,222.22222222222223,0.0,0.0,0.0,-0.9999999999999999,711,213,94,111
113,180.0,222.22222222222223,32.46523972738947,0.0,-0.2358505988704389,0.9717893264553051,586,242,318,241
114,180.0,80.80808080808082,0.0,0.0,0.0,-0.9999999999999999,695,45,2,57
115,180.0,80.80808080808082,28.521326706897817,0.0,0.12528549830435692,0.992120730513494,656,289,291,261
116,180.0,339.39393939393943,0.0,0.0,-0.0,-0.9999999999999999,710,207,94,213
117,180.0,339.39393939393943,49.99546391474966,0.0,-0.009797910408178869,0.9999519993237842,608,327,328,224
118,180.0,197.97979797979798,0.0,0.0,0.0,-1.0,701,2,111,48
119,180.0,197.97979797979798,28.374696584721345,0.0,-0.12382132931950662,0.9923045290663297,685,321,315,246
120,180.0,56.56565656565657,0.0,0.0,0.0,-0.9999999999999999,695,45,2,57
121,180.0,56.56565656565657,32.01213280825395,0.0,0.17466599638233285,0.9846277416911262,650,286,287,265
122,180.0,315.1515151515152,0.0,0.0,-0.0,-0.9999999999999999,710,207,94,213
123,180.0,315.1515151515152,49.21320437221967,0.0,-0.06634857448329358,0.9977965056383165,611,325,227,228
124,180.0,173.73737373737376,0.0,0.0,0.0,-0.9999999999999999,698,2,48,57
125,180.0,173.73737373737376,26.14575583192553,0.0,-0.07412066533915022,0.9972492802552839,679,302,319,249
126,180.0,32.323232323232325,0.0,0.0,0.0,-0.9999999999999999,695,45,2,57
127,180.0,32.323232323232325,36.73250897480747,-0.0,0.20735193120811107,0.9782664139304115,643,268,283,267
128,180.0,290.90909090909093,0.0,0.0,0.0,-0.9999999999999999,711,213,94,111
129,180.0,290.90909090909093,46.95824090564316,0.0,-0.12268830262941821,0.9924452530985839,619,305,304,232
130,180.0,149.4949494949495,0.0,0.0,0.0,-0.9999999999999999,698,2,48,57
131,180.0,149.4949494949495,25.10061054793372,0.0,-0.024235316292866734,0.9997062815868393,673,299,300,253
132,180.0,8.080808080808081,0.0,-0.0,-0.0,-1.0,703,57,278,275
133,180.0,8.080808080808081,42.71716543536102,-0.0,0.25593862123165273,0.9666930340920226,637,272,280,271
134,180.0,266.6666666666667,0.0,0.0,0.0,-0.9999999999999999,711,213,94,111
135,180.0,266.6666666666667,43.20687809902234,0.0,-0.17863267978851205,0.9839158326358892,624,308,234,235
136,180.0,125.25252525252526,0.0,0.0,0.0,-0.9999999999999999,698,2,48,57
137,180.0,125.25252525252526,25.231284479686817,0.0,0.02571079281968783,0.9996694229256905,667,296,297,256
138,180.0,383.8383838383839,0.0,0.0,-0.0,-1.0,725,199,343,207
139,180.0,383.8383838383839,47.580869638392876,0.0,0.10321752663129005,0.9946588069263345,593,335,217,218
140,180.0,242.42424242424244,0.0,0.0,0.0,-0.9999999999999999,711,213,94,111
141,180.0,242.42424242424244,37.91321997872981,0.0,-0.2523071965835557,0.967647187022288,633,312,311,238
142,180.0,101.01010101010101,0.0,0.0,0.0,-0.9999999999999999,695,45,2,57
143,180.0,101.01010101010101,26.53846928441164,-0.0,0.07559235411646446,0.9971388047805235,660,259,293,258
144,180.0,359.59595959595964,0.0,0.0,-0.0,-0.9999999999999999,710,207,94,213
145,180.0,359.59595959595964,49.502868731426254,0.0,0.046784622767939654,0.9989050000237568,601,330,331,221
146,180.0,218.1818181818182,0.0,0.0,0.0,-0.9999999999999999,711,213,94,111
147,180.0,218.1818181818182,31.52334480858697,0.0,-0.2064195968833069,0.9784635660169126,585,316,317,242
148,180.0,76.76767676767678,0.0,0.0,0.0,-0.9999999999999999,695,45,2,57
149,180.0,76.76767676767678,29.031550934639696,-0.0,0.12528549830435692,0.992120730513494,653,262,289,261
150,180.0,335.3535353535354,0.0,0.0,-0.0,-0.9999999999999999,710,207,94,213
151,180.0,335.3535353535354,49.95587449763014,0.0,-0.009797910408178869,0.9999519993237842,606,327,224,225
152,180.0,193.93939393939394,0.0,0.0,0.0,-1.0,701,2,111,48
153,180.0,193.93939393939394,27.93530926949166,0.0,-0.10728238302409533,0.9942285905628901,682,247,321,246
154,180.0,52.525252525252526,0.0,0.0,0.0,-0.9999999999999999,695,45,2,57
155,180.0,52.525252525252526,32.72887190428255,-0.0,0.17466599638233285,0.9846277416911262,647,266,286,265
156,180.0,311.11111111111114,0.0,0.0,-0.0,-0.9999999999999999,710,207,94,213
157,180.0,311.11111111111114,48.94453731746199,0.0,-0.06634857448329358,0.9977965056383165,613,323,325,228
158,180.0,169.69696969696972,0.0,0.0,0.0,-0.9999999999999999,698,2,48,57
159,180.0,169.69696969696972,25.899149728689075,0.0,-0.0575067060682458,0.9983451200647901,676,251,302,249
160,180.0,28.282828282828284,0.0,0.0,0.0,-0.9999999999999999,695,45,2,57
161,180.0,28.282828282828284,37.6582777864912,0.0,0.22361141766967357,0.974678374587104,644,282,283,268
162,180.0,286.8686868686869,0.0,0.0,0.0,-0.9999999999999999,711,213,94,111
163,180.0,286.8686868686869,46.452734057413274,0.0,-0.14138837803972992,0.9899542042717402,620,305,232,233
164,180.0,145.45454545454547,0.0,0.0,0.0,-0.9999999999999999,698,2,48,57
165,180.0,145.45454545454547,25.044320783101934,0.0,-0.007587161579545014,0.9999712170753545,670,254,299,253
166,180.0,4.040404040404041,0.0,-0.0,-0.0,-1.0,703,57,278,275
167,180.0,4.040404040404041,43.8579598863583,0.0,0.2719982039192308,0.9622977590458748,638,276,280,272
168,180.0,262.62626262626264,0.0,0.0,0.0,-0.9999999999999999,711,213,94,111
169,180.0,262.62626262626264,42.43008648903247,0.0,-0.1971644318568755,0.9803704334640839,625,308,235,236
170,180.0,121.21212121212122,0.0,0.0,0.0,-0.9999999999999999,698,2,48,57
171,180.0,121.21212121212122,25.364736940857536,0.0,0.04235120428138851,0.9991027852508049,664,257,296,256
172,180.0,379.79797979797985,0.0,0.0,-0.0,-0.9999999999999999,710,207,94,213
173,180.0,379.79797979797985,48.00014960528957,0.0,0.10321752663129005,0.9946588069263345,595,333,335,218
174,180.0,238.3838383838384,0.0,0.0,0.0,-0.9999999999999999,711,213,94,111
175,180.0,238.3838383838384,36.859713049581124,0.0,-0.2523071965835557,0.967647187022288,632,312,238,239
176,180.0,96.96969696969697,0.0,0.0,0.0,-0.9999999999999999,695,45,2,57
177,180.0,96.96969696969697,26.86295971418523,0.0,0.09218384893320344,0.9957420037318203,659,292,293,259
178,180.0,355.5555555555556,0.0,0.0,-0.0,-0.9999999999999999,710,207,94,213
179,180.0,355.5555555555556,49.69210472369365,0.0,0.046784622767939654,0.9989050000237568,600,330,221,222
180,180.0,214.14141414141415,0.0,0.0,0.0,-0.9999999999999999,711,213,94,111
181,180.0,214.14141414141415,30.6969939852707,0.0,-0.17680062909314082,0.9842466853143422,582,244,316,243
182,180.0,72.72727272727273,0.0,0.0,0.0,-0.9999999999999999,695,45,2,57
183,180.0,72.72727272727273,29.550291802227758,0.0,0.1417865547533397,0.9898972537042309,654,288,289,262
184,180.0,331.31313131313135,0.0,0.0,-0.0,-0.9999999999999999,710,207,94,213
185,180.0,331.31313131313135,49.89750854446261,0.0,-0.028660298739610696,0.9995892092635635,607,327,225,226
186,180.0,189.89898989898992,0.0,0.0,0.0,-0.9999999999999999,698,2,48,57
187,180.0,189.89898989898992,27.499328874289674,0.0,-0.10728238302409533,0.9942285905628901,683,320,321,247
188,180.0,48.484848484848484,0.0,0.0,0.0,-0.9999999999999999,695,45,2,57
189,180.0,48.484848484848484,33.44710144566592,0.0,0.1910358410573608,0.9815830619114752,648,285,286,266
190,180.0,307.0707070707071,0.0,0.0,-0.0,-0.9999999999999999,710,207,94,213
191,180.0,307.0707070707071,48.626038585067306,0.0,-0.08516123440401051,0.9963671833991649,614,322,323,228
192,180.0,165.65656565656568,0.0,0.0,0.0,-0.9999999999999999,698,2,48,57
193,180.0,165.65656565656568,25.666414251869806,0.0,-0.0575067060682458,0.9983451200647901,677,301,302,251
194,180.0,24.242424242424242,0.0,0.0,0.0,-0.9999999999999999,695,45,2,57
195,180.0,24.242424242424242,38.58523020381118,-0.0,0.22361141766967357,0.974678374587104,641,270,282,268
196,180.0,282.82828282828285,0.0,0.0,0.0,-0.9999999999999999,711,213,94,111
197,180.0,282.82828282828285,45.87567082415174,0.0,-0.14138837803972992,0.9899542042717402,621,306,305,233
198,180.0,141.41414141414143,0.0,0.0,0.0,-0.9999999999999999,698,2,48,57
199,180.0,141.41414141414143,25.013664702429082,0.0,-0.007587161579545014,0.9999712170753545,671,298,299,254
